Listed	Year	Delisted	Name	Note	Scientific	Reason
03/11/1967	1967.03	08/08/2007	Bald eagle	(lower 48 States)	(Haliaeetus leucocephalus)	Recovered
03/11/1967	1967.03	03/20/2001	Aleutian Canada goose		(Branta canadensis leucopareia)	Recovered
06/02/1970	1970.06	05/23/2012	Morelet's crocodile		(Crocodylus moreletii)	Recovered
06/02/1970	1970.06	09/12/1985	Palau ground dove		(Gallicolumba canifrons)	Recovered
06/02/1970	1970.06	08/25/1999	American peregrine falcon		(Falco peregrinus anatum)	Recovered
06/02/1970	1970.06	10/05/1994	Arctic peregrine falcon		(Falco peregrinus tundrius)	Recovered
06/02/1970	1970.06	09/12/1985	Palau fantail flycatcher		(Rhipidura lepida)	Recovered
06/02/1970	1970.06	09/21/2004	Tinia monarch	(old world flycatcher) ï¿½ï¿½	(Monarcha takatsukasae)	Recovered
06/02/1970	1970.06	09/12/1985	Palau owl		(Pyrroglaux podargina)	Recovered
06/02/1970	1970.06	12/17/2009	Gulf brown pelican	(except U.S. Atlantic coast, FL, AL)	(Pelecanus occidentalis)	Recovered
06/02/1970	1970.06	02/04/1985	Atlantic brown pelican 	(U.S. Atlantic coast, FL, AL)	(Pelecanus occidentalis)	Recovered
12/30/1974	1974.12	03/09/1995	Eastern gray kangaroo		(Macropus giganteus)	Recovered
12/30/1974	1974.12	03/09/1995	Red kangaroo		(Macropus rufus)	Recovered
12/30/1974	1974.12	03/09/1995	Western gray kangaroo		(Macropus fuliginosus)	Recovered
04/10/1978	1978.04	01/27/2012	Minn. gray wolf	(MN)	(Canis lupus)	Recovered
07/05/1979	1979.07	09/02/2011	Tennessee purple coneflower		(Echinacea tennesseensis)	Recovered
07/27/1979	1979.07	06/04/1987	American alligator	(Entire)	(Alligator mississippiensis)	Recovered
09/17/1980	1980.09	08/27/2002	Robbins' cinquefoil		(Potentilla robbinsiana)	Recovered
07/31/1985	1985.07	03/04/2013	Virginia northern flying squirrel	(Entire)	(Glaucomys sabrinus fuscus)	Recovered
09/05/1985	1985.09	02/18/2011	Maguire daisy		(Erigeron maguirei)	Recovered
09/03/1986	1986.09	11/28/2011	Concho water snake		(Nerodia paucimaculata)	Recovered
04/17/1989	1989.04	06/14/2013	Magazine mountain shagreen	(Entire)	(Mesodon magazinensis)	Recovered
07/19/1990	1990.07	10/07/2003	Hoover's woolly-star		(Eriastrum hooveri)	Recovered
06/16/1994	1994.06	06/16/1994	Gray whale	(except where listed)	(Eschrichtius robustus)	Recovered
05/22/1997	1997.05	08/18/2005	Eggert's sunflower		(Helianthus eggertii)	Recovered
08/30/1999	1999.08	09/15/2011	Lake Erie water snake	(subspecies range clarified)	(Nerodia sipedon insularum)	Recovered
07/24/2003	2003.07	07/24/2003	Columbian white-tailed deer	(Douglas County DPS)	(Odocoileus virginianus leucurus)	Recovered
05/05/2011	2011.05	05/05/2011	Rocky Mtn. gray wolf	(Northern Rocky Mountain DP, delisted, except WY)ï¿½ï¿½	(Canis lupus)	Recovered
05/05/2011	2011.05	09/30/2012	Wyoming gray wolf	(WY, EXPN population)	(Canis lupus)	Recovered
01/27/2012	2012.01	01/27/2012	Great Lakes gray wolf	(Western Great Lakes DPS)	(Canis lupus)	Recovered
03/11/1967	1967.03	07/25/1978	Mexican duck	(U.S.A. only)	(Anas diazi)	Taxonomic revision
10/11/1979	1979.1	11/27/1989	Purple-spined hedgehog cactus		(Echinocereus engelmannii var. purpureus)	Taxonomic revision
11/28/1979	1979.11	06/24/1999	Lloyd's hedgehog cactus		(Echinocereus lloydii)	Taxonomic revision
12/06/1979	1979.12	10/01/2003	Truckee barberry		(Berberis (=Mahonia) sonnei)	Taxonomic revision
02/17/1984	1984.02	02/06/1996	Cuneate bidens		(Bidens cuneata)	Taxonomic revision
12/14/1992	1992.12	09/05/2007	Idaho springsnail		(Pyrgulopsis idahoensis)	Taxonomic revision
09/13/1996	1996.09	04/26/2000	Coastal cutthroat trout	(Umpqua R.)	(Oncorhynchus clarkii clarkii)	Taxonomic revision
12/07/1979	1979.12	09/22/1993	Spineless hedgehog cactus		(Echinocereus triglochidiatus var. inermis)	Not a listable entity
05/18/1984	1984.05	06/19/2006	Arizona agave		(Agave arizonica)	Not a listable entity
03/10/1997	1997.03	04/14/2006	Cactus ferruginous pygmy-owl	(AZ pop.)	(Glaucidium brasilianum cactorum)	Not a listable entity
12/18/1977	1977.12	11/22/1983	Pine barrens treefrog	(FL pop.)	(Hyla andersonii)	New information discovered
05/27/1978	1978.05	09/14/1989	Rydberg milk-vetch		(Astragalus perianus)	New information discovered
07/13/1982	1982.07	09/22/1993	Mckittrick pennyroyal		(Hedeoma apiculatum)	New information discovered
04/29/1986	1986.04	06/18/1993	Tumamoc globeberry		(Tumamoca macdougalii)	New information discovered
09/26/1986	1986.09	02/28/2000	Dismal swamp southeastern Shrew		(Sorex longirostris fisheri)	New information discovered
12/14/1992	1992.12	09/24/2010	Utah valvata snail		(Valvata utahensis)	New information discovered
06/14/1976	1976.06	02/29/1984	Indian flap-shelled turtle		(Lissemys punctata punctata)	Erroneous data
04/28/1976	1976.04	08/31/1984	Bahama swallowtail butterfly		(Heraclides andraemon bonhotei)	Act amendment
03/11/1967	1967.03	09/02/1983	Longjaw cisco	1967	(Coregonus alpenae)	Extinct
03/11/1967	1967.03	09/02/1983	Blue pike		(Stizostedion vitreum glaucum)	Extinct
03/11/1967	1967.03	12/12/1990	Dusky seaside sparrow		(Ammodramus maritimus nigrescens)	Extinct
10/13/1970	1970.1	01/15/1982	Tecopa pupfish		(Cyprinodon nevadensis calidae)	Extinct
06/04/1973	1973.06	10/12/1983	Santa Barbara song sparrow		(Melospiza melodia graminea)	Extinct
06/14/1976	1976.06	01/09/1984	Sampson's pearlymussel		(Epioblasma sampsoni)	Extinct
12/08/1977	1977.12	02/23/2004	Mariana mallard		(Anas oustaleti)	Extinct
04/10/1979	1979.04	10/28/2008	Caribbean monk Seal		(Monachus tropicalis)	Extinct
04/30/1980	1980.04	12/04/1987	Amistad gambusia		(Gambusia amistadensis)	Extinct
08/27/1984	1984.08	02/23/2004	Guam broadbill		(Myiagra freycineti)	Extinct
